textID,text,sentiment
5ed45c11a5,_carter  Ey boy!! I can茂驴陆t see the video because youtube says me :The vid is private. Why?  I want to see it. Besos grandes guapo!!,neutral
9a232fb59e,you are the sweetest.  love you cuz!,positive
21891105a4,At home alone with not much to do,neutral
fe9ecf257d,lol....,positive
eb2c5418a4,Where did everyone go?? boo got no-one to twitter on to now  Wonder if I can con some innocent un-suspecting people into talking to me??,neutral
feea5525dc,d I`ll never get what i want,negative
0dc68d825f,LOL!!  I`m glad I`ve seen the original trailer or that wouldn`t have made sense     Someone certainly went to a,neutral
b3891513eb,thanks,positive
6fbff71c0c,"Oh, wow, you`re fast",positive
52a04d5cde,Good,positive
3571155c9f,failed,negative
527815714f,"My pleasure  I really enjoy your random word poetry, and am disappointed when I miss out on participating!",neutral
ee92334739,It hurts so bad,negative
6a3061d562,attacked,negative
b9d9d64cc5,i miss,negative
354f35b0ba,Heyyyyy us English fans want some signings too,neutral
808c552f3e,Today is gonna be a looooong one again.,negative
3fcb1ee230,"man, 4 months until we get to see what those drunk tweets were all about",neutral
d123dccf52,Just got back from lunch and feeling more like a nap is in order than work  But I will press on!,neutral
6bd516748c,Worst of times considering i can`t have any,negative
718f5c214a,sick,negative
61ee8f938e,nothing beats nurofen plus!,neutral
5bd5c5212d,"sabi ko nga lighting up is hazardous to your health, but got shoes for it  thanks love",neutral
a88287bbda,m sorry,negative
2fdf8962ef,lol,positive
47eac3338e,soooo expensive???,negative
e48295fae4,I`ll also have to fix that in iTunes when blip.tv changes the URL since that`s part of the RSS feed,neutral
ddae59d08f,"Back @ home AGAIN .. bathing kids, ironing clothes for hubby .. nephew`s graduation tonight! I remember when he was 2!",neutral
827e3beeb4,No I haven`t made my page yet.  Had to work,neutral
17cbb1d45e,just had cheese on toast with ham (: about to get ready to go to LONDON!,neutral
50949a20cf,i can almost imagine what the call taker must`ve felt like taking that call...especially if they have young ones at home.,neutral
cfa474e4f6,miss,negative
656bc8025d,Funniest desktop ever:,positive
16400957cd,How in heckitty did I forget that one?,neutral
f7f91671b8,Wow... my god the whole UI is sooo much snappier.,neutral
3a716b7e49,smile,positive
17f7bfec8c,that is a gr8 Show,positive
879462f251,love,positive
5512695d36,sitting around doing **** all....tired,negative
05c1590a10,tired,negative
bb97edb997,"off to bed, night every onee",neutral
5a55ae9372,good oo,positive
9f3bda8686,studying with  and colette!,neutral
575f837df9,That would be SOOOOOO much and Geeky to the ultimate LEVEL!,positive
0ea3d0515b,good,positive
7e9dc861a0,a wonderful day planned for me,positive
523c06c04c,least favourite,negative
802a61618c,new neighbors are moving in.... off to give my brazil presentation that i shouldve given on wed!!! but some people went overtime,neutral
1c501685da,sinking,negative
33a7b1e26b,good,positive
d20a1c075b,the only good thing: ive been advised to eat lots of ice cream. [but no solid foods  & im bed ridden.],neutral
b49385ebb7,"says Finally, Im home.",neutral
2756eb5fa9,my tummy hurts,negative
36cf9fdd08,good,positive
d6d4a2a7f3,. Watching everyone else act a fool is much better the  not remembering acting a fool yoursel,positive
864eadcbd9,i miss yoooooooou,negative
691c70d21b,D-Lab on MIT Open courseware http://is.gd/ygt5 There goes my chances of getting any work done in the next few weeks,neutral
1c6bd2b82f,loadsa shizze has happend  IM SO UPSET..,negative
21516e4a07,we love,positive
8bb353dccb,I hope,positive
8a0cd1dda6,sucks.,negative
8d2b2b2a31,oh  il probs do wt i do every yaer watch the first one then watch the last couple of weeks lol,neutral
9b69059311,dont wanna work tonight,negative
07836035cd,damm,negative
d92016105e,that`s really quite nice,positive
9a130a4bf7,e fab,positive
fada4f1204,nice to have you back,positive
5770eda641,i`m trying to figure that out right now,positive
5921285888,greaaaaat,positive
249bbd24bc,Realizing that I don`t have school today... or tomorrow... or for the next few months.  I really need to get on those job applications!,neutral
93b6f1ee3e,No kidding there! Ugh,negative
fa60196831,goodbye innocence!!,positive
8ac49207e1,"s fun,",positive
393c3d5c7a,it`s ace!,positive
4131e5218b,Looks like Anna and Josie are getting a new cousin today!!  (And this one is a girl!),positive
29e00d4b30,headaches,negative
c7500787ce,No idea,neutral
7dee3c3503,He made me sad,negative
fc8fb7b64f,"Ah, lets start working! Livingroom here I come",neutral
76ebfe4c04,Operation Mischevious (Pinwheel) to commence in 25 min... lol  waiting on Ed to show up,neutral
208cb66bdd,"Crab boat? I have my mobile set to go off every night, to remind me to head to bed",neutral
ffb65346f7,love,positive
9984b547fe,lovely Mo,positive
2de420758f,Reminders are good!,positive
2060c50006,god you guys...i`ll call you guys...three way. to discuss.,neutral
f46c8d0af2,Also,neutral
52d8be9124,I love alex Vixon,positive
358aee9cb8,yay me!,positive
4fe8ecbb6d,Happy,positive
9a5b188815,me too  chrome`s popup blocker is better,neutral
b1e9db3db7,good,positive
0d7d9bc394,LoL....heeeyyy love! Not much working   and you,neutral
d4f47f10dd,the grates & children collide tonight,neutral
a91821188c,excellent,positive
1adf377451,i wish i was in Jonathon Ross` audience right now,neutral
7100d525ab,I don`t find this stuff amusing,negative
93bf23a0bd,2nd to last episode of jay leno  itll never be the same!  nite twitter,neutral
4375ecbb93,just gott home from work and now relaxing,positive
c2227e28c5,Happy Mothers Day,positive
a357e314cd,y depressing.,negative
f7f69165f0,. Happy,positive
59694a5c20,i wish i could see him on his bday though.,positive
e9ee293ca3,wish I could alter time!!,negative
6c5103a4c5,Sunday feels great,positive
8af8378d17,Finally came around to shorten my Twitter username from  to . If you follow me - no need to change anything.,neutral
3435c1bf57,I know it`s so stupid !!!!!!!,negative
151ab729cc,suck,negative
e45432f590,Mad,negative
5467d2a10e,Harley Quinn cstm  hehehehe  not going to the prom buaa,neutral
9032aa57bd,relaxing,positive
6193b1aa9e,cold & raining in inglewood,neutral
83f3b8d9c9,Oh good.,positive
c489f325a3,Just paid my bills now I have no money,negative
56904a6bb4,really good.,positive
190840ec5c,one hour till I go home and commence pouting because no Bahama trip for me,neutral
7270ae8bb3,has put me in a funk.,negative
1859019d51,argh. Interested.,neutral
db83ff224e,You`re still welcome - the door`s wide enough for your zimmer frame,neutral
678cddf365,is it in crowntown? i think i may just meet you there? let me get ready and ill let you know,neutral
fb0e1b0b5d,! Please,positive
81139c7368,@_IANNE I`m at the terrance middle by the left side center. I see u,neutral
4700be3234,just got up and updated my ipod,neutral
a99ebc9c3f,just woke up with a cat in my face  haha,neutral
82831e923c,lovely,positive
14aaecc740,yes. Yes you will.,neutral
86f53609e6,Traffic backed up inbound Lincoln tunnel,neutral
5c6a2cd221,. Hope all is well   Just thinking of you and wishing you the best! Lots of love from over here in New York,positive
ab8363c725,I`m so happy!,positive
e15e11f4fa,I can`t believe how fast this week has gone by,neutral
c60a403476,Good,positive
ef46647045,wish me luck!! no a great effort!!,positive
2005f1cf47,yeah... i guess my password was also changed... i was not able to login my FB  cahnge my pw again ...ufff,neutral
2539862087,crazy,positive
d9f1ef6dec,love,positive
0ad0994809,thanks,positive
eca38164c0,miss,negative
88a400760a,sorry to hear,negative
3b474db526,Thanx 4 da messages,positive
4b98894d6c,"all alone.  still watching TWW, eating Italian chocolate and solving logic puzzles.",neutral
6ee93c53ad,right!,positive
6dd75a5d42,We have tons of updates including pics of Rob from yesterday. Check them out  www.robsessedpattinson.com,neutral
ecdc2cd813,"no matter how much fun i`m having, i need a hug,",positive
3695dc3e68,failed!,negative
f416e179c8,sad,negative
c9d84326b4,too sweet,positive
6b4f5aced4,I`ve worked my finger tips bare today coding. But we got there.,neutral
0254a71f68,NOT helping,negative
3adae2c9ec,thaank,positive
a3d51d9c94,Ohh Emmm Geee.,positive
762b9211cf,lost,negative
8a1ba0dee3,yeah i know  been dealin with it for over 2 yrs now,neutral
14420761d6,very depressing place,negative
a78b09feec,had a great night with friends,positive
782cc18378,popular,positive
9a11572e70,Happy,positive
563ecd5b59,Exhausted,negative
ecd73c6d97,Great work. Love it.,positive
176dae0780,"While I remember, Nerd Hurdles rocks  Especially the tale of the currency of ironpoodonia",neutral
11a508ea61,My 789 pacman pic,neutral
4f6c17bae7,im allergic to cats! my tonsils get swollen and they hurt  what do i dooo?!,negative
2c7965a544,_bishop  sez need to get u to look at my flights again  will email ur work tonite,neutral
9992b5a34d,I just don`t feel right anymore..,negative
6f374e6fc3,OMG  Poor Eppy! I hope she is ok. That is so scary and wow I can`t believe no one noticed.,neutral
bd0fa6cebd,the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,neutral
906a96d74e,"i guess that means you didn`t beta-read either of my stories, huh?",neutral
7ca644d9a8,thank you ba,positive
26f3b86fb9,No problem!,positive
428802d196,I feel bad for you,negative
7da058a4f6,GAH!!,negative
fbb62d0fd8,miserable fo,negative
a6a3c2ab93,"Missed Justin on SNL! AGHHH! Just when I started to love him again, yes it`s one of those weeks.",neutral
884476afed,uni email is helpful..,positive
8510aebf67,i agree,positive
8826b68c3f,", a 74 is not 'quite alright'!  on the plus side, I ate cinnamin toast crunch for breakfast, and am now eating strawberries.",neutral
f995f0bd22,it`s looks amazeeeeeee,positive
775a2ac6b8,good,positive
6fe8bdcd2d,i used to be!! i`ve done a few different jobs in yj. currently i`m a court officer,neutral
4769d6feb4,glad,positive
43e658a79f,"well, the requirements are quite high as well",neutral
b69d9e539d,", sorry  been out",negative
194b2f6684,will work on that too,positive
eeb70d82b3,i`m so tired,negative
beefe0803a,yummy,positive
58fdcc0c17,hanging out with ambyr,neutral
efe8ee16b9,far too warm,negative
77f157bb4b,Thanks a lot! You`re very kind!  I just got back from a nice drive in the 500. Such a fun car to drive  Have a nice day,positive
b06478bee5,is working tomorrow all day so can`t do anything tonight  Whats the plan for Saturday?,neutral
529db00fe9,GAH! I have the headache from hell. Reminds me what my lovely wife goes through all too often,neutral
5c3ac415c3,"Haha yes I do  it`s hard work, too! I didn`t get home until 3:00 AM, not like I sleep haha.",neutral
939ab02a42,o worth,positive
f49793eb70,Why are all the cool classes being offered this summer?  Boo.,neutral
11f48ef97d,an aston os my dream car but its wishful thinking,neutral
7f72544581,.I love you guys,positive
8764d96d8f,living in ballarat again,neutral
7f4ebd7979,"If there is one thing the Internet has taught me, is that if I get enough people to listen to me I get to be on The colbert report.  #USA",neutral
ebe781df42,haha...it the booomb,neutral
45154b041d,fun,positive
e7ec3be194,not exciting anymore...,negative
18473e6864,im almost to 300 updates. 200 more to goo,neutral
cb1ffba2a2,hopefully,positive
4f251f1013,very interesting.,positive
7765613f7c,Excited! Double Bio today.   I don`t have a straightener and my hair looks horrendous at the moment,neutral
f2bc1cff88,Just had mothers day lunch here  http://twitpic.com/4wfeo,neutral
0af6890a93,)    Hope you have a great ti,positive
4144dd6642,sad,negative
e6f129e747,best,positive
6c2e853e4c,#bash,neutral
46e338c6bf,can`t find one,negative
f8c6ca475b,and i got hello kitty tattoos!  she`s a ballerina and i`m a ladybug,neutral
2ad27aff94,yes! My co-workers don`t go to bars with me,neutral
b36a092e84,Stupid idiot who ran a stop sing and almost killed me and my car!,negative
73174b295c,Exams tomorrow,negative
15f47296e2,I`m kinda o sick n tired of the bs ,negative
4997632867,"but i like the idea going to cinema, but monday....",neutral
7105615335,I`m wondering how big the rumored new `large screen` Kindle will be - http://is.gd/wyFI -and when we can start seeing K12 textbooks on it,neutral
ef11790afa,"living in harlem, i can say for sure that there is far more pollution here than in other parts of nyc where i`ve lived.",neutral
74dc715845,lol seriously.  fail. ::sigh::,negative
08a6d8a0da,couldn`t remember wh,negative
011809f662,We had a blast,positive
1a0a876a35,better,positive
d8e204b2a3,So glad it`s Friday but not happy that I just ate a bad apple,neutral
1458d54f02,Why do I always have a headache?,negative
de904e3f4f,good,positive
94894860a7,HAPPY,positive
b7942e0495,good morning work this morning gutted lol nevermind,neutral
9c4cb77ab8,isn`t lookin healthy,negative
f54efff9bf,i don`t feel very well right now,negative
b2e18c4144,Sad that our neighbors just cut down ALL the trees around their house!,negative
28a5f92ba9,why have you still not called me back regarding the groundbreaking production i sent you earlier,negative
d1175f1255,T9R8AM booked. im arriving medan on 27th june. 1155hours,neutral
ab456839b7,best,positive
554715bc64,Feel hella replenished,neutral
82ab171f64,goodnight,positive
f0e3079931,cant wait,positive
150ebf834f,"http://twitpic.com/67xv3 - Former Pawnshop were Jimi Hendrix got his 1st guitar, Seattle. Now a check cashing joint",neutral
c97639b3e4,"Zelda Fans!!! pand_i - Zelda: The minnish cap, and a want for more music taste: Zelda = epic  I&#.. http://tinyurl.com/d7jvop",neutral
f6b7c8bfc1,bad,negative
431cb579c1,joy!!,positive
f1f6db7a1a,Is at the movies with the boyfriend!!,neutral
e91632a0e9,Wtf,negative
b78d02040a,i wish i could meet you once  do u think this will happen someday? :`(,negative
344356f498,Ah....okay,neutral
f254f7b8ff,is super stressed!,negative
3c19266ecf,sad be,negative
641555ac70,"Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral
f2a0ff977a,Bummed that F! F! F! broke up,negative
869bb56451,Sigh... you know I am...,negative
d7fa220244,off to the family party,neutral
a962fad818,On the plane to yosemite. Forgot my laptop at home,neutral
a9327c08ba,suck.,negative
f3164924d6,would love to catch up with yo,positive
9602407df9,"Time to watch OP, then some Dead Like Me, then sleep.",neutral
51d0b71047,It just sucks,negative
413f171117,me too! Yay he got in. And the other kid who cries a lot,neutral
897f6594f6,Amazing,positive
b81798ce06,What happened?!,neutral
73c0a80cf7,LOL!!! I`m going to see it maybe today,neutral
80e72b463a,excited,positive
36c47981f9,haha,positive
b7704c849c,"I left a chocolate egg sitting in my office, and now it`s calling my name..",neutral
a7f72a928a,t?  lovelovelove,positive
a3e31054d0,"****, ne",negative
8db50dd107,sosad,negative
88069b5a59,e wonderful,positive
216a8bdc6c,Twitter stop being a ****,negative
0bed5c0d04,Off to school. Who knows what to expect? Bring on life and all of it`s suprises!,neutral
9c43907052,is off to work,neutral
21cf36a2fa,Happy Mother`s Day to all Mothers out there,positive
3758dfebd1,HAPPY Mother Day to,positive
aaeaa5c0b5,Thanxxx,positive
a51a6d61ac,shall be awesome,positive
7223003443,have a gud day,positive
485368aff9,you don`t love me anymore!,negative
aeffd29532,loves th,positive
1a42e9ced0,We can compare horror stories mate LOL,neutral
45d0e20f00,i guess im stuck with this uglyonee,negative
95a9f1cccc,Now i`m fully awake,neutral
16b9332185,We can`t wait to see you!,positive
a634e00b45,why you will so little time in rio de janeiro? forgive babelfish!,neutral
d6e037a5c7,Watching wizard of waverly place,neutral
1b4ecfbf19,sorry my friend ... but  is paying the mortgage,negative
a5a1b3b23e,y car is home. Yay! $613.22 Boo!  I`m paying my mom in installments. I gave her $200 today. I so need to win the lottery. :\,neutral
e95b3cc20f,GOING TO WATCH SUPERNATURAL shall return afterwards  ****,neutral
55db084aa8,The heartache is never going to go away,negative
cede4f9185,m suffering,negative
8fddb7d6b9,purrrrs.... ooooh that will do,neutral
c63298701b,hello thereeeeeee,neutral
847bfe78ee,You don`t think they will catch them? God yeah can you imagine how they`re feeling,neutral
fd66909baa,fail,negative
eaf0dc067f,Yummy!!!,positive
6584036615,so low? No,negative
73714f7a1a,aww i hope it does fly by because JT episodes are usually really good (and it`s early but so far this ep hassn`t disappointed),positive
840e89f387,lot of fans,positive
4489b2cdb3,_ no idea wh,negative
3bfa1312fb,thx to,positive
f17bce53be,"good,",positive
dbb41be912,I just love the connection with GW  Doing Dutch and might do some art later.,positive
004820461a,Jacqueline Wilson day on CBBC,neutral
7b11a02202,or missin,negative
97c972509b,sucks,negative
0ce8b5c83d,surprised,positive
1755ac6065,"Hey welcome to VA, LOL.  It`s muggy up here by DC too.  Worst part of summer I`d say",neutral
6943d0f480,"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",neutral
5f9662195f,i know! i just got off the phone with them. it will leave a Giant hole on Mill. + Regions also closed.,neutral
024ab7f5da,Goodnight and Goodbye ?,positive
d9e249144e,So its Superstar Sunday?  is one superstar I know   #sunda,neutral
38e942f810,bomb!,positive
16344ee21c,feel crappy today,negative
17b79b96b8,good,positive
a50c8dc573,s like a hot box an,negative
d28a8ca680,Thx,positive
b154ec432c,Am dum diggin` it,negative
c628b6b7f1,I don`t think it was either. But I can`t remember it.,neutral
c7440bb4e0,I want one  wanna give me one? ;),neutral
2d3c0fcd6d,well well...so sorry! let`s dance  it`s fabulous hobby,neutral
875d366982,Enjoy the coffee.,positive
8a17af85f3,made a little cover for my iphone.  the birds aren`t upside down on the back  http://twitpic.com/67tp9 & http... http://bit.ly/FjeAm,neutral
b7694fbc1b,"_kryptik the usual... applications, checking statuses, reading stuff that`s ... wel... not arbit  etc",neutral
39cb9c49b1,my power went out as well.. Except I`m in nor cal,neutral
b01c96b216,: Where are you?,neutral
aad244f37d,*hug*,positive
cf86bc34f2,"Nah, could use a hug or three, but even that option is 2,000 miles away!",neutral
3819735b05,OMG!,positive
024c74397e,"Plan for this evening: dinner, shopping for dress shirts, watching Up, going to bed. Plan for Saturday: Funeral for a friend...",neutral
1ef6660118,Seriously though. Amazing night.,positive
490cb7f754,wish u was ere.,positive
d387ba5369,Can`t sleep. **** morning will come to soon. Have to rest! It will be a new day. A perfect day to start new changes,neutral
8b8ac83fb2,"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!",neutral
a3a78146c8,It was good until I woke up and they weren`t there.,neutral
91f01de61c,Let`s hope I make good use of this site,positive
28d3a8aef0,One lactose pill is not enough for coffee....oopse,neutral
82c1f4f778,aww poor precious,negative
38a01880d5,great,positive
ef55b990e7,we are going all out!,neutral
40649553ef,thanks,positive
8e5f9c7b1e,Well I will send out an email and you all can pick your fave cake and ice cream flavor  and the 'cup' part is belgian chocolate,neutral
68286bd922,who can do it like we? Noboddddyyyy,neutral
d8977abcc3,ck too far,negative
80eabc032a,sad...,negative
e609756d4c,bad,negative
0315f3ec62,Summer is really ending. It`s raining.,neutral
8982cde761,I saw the show listing and saw it was on a Wednesday!!!!,neutral
de8466bd62,A lot of work and not enough help,negative
5cdb59a9fe,hopefully,positive
68ddfb1f11,sad,negative
eb6534ae87,oh! i love that as well!! all of MCR songs are great!  and happy star wars day to yaa xD,positive
fbed853ab3,Lettuce & spinach does best in cool weather.. I live in florida..not much luck growing those..,neutral
f429b761e2,That room will be an oven too,neutral
35111e04a2,Oh I`m on a roll now with these oldies!  ? http://blip.fm/~5jeu7,neutral
